Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
97,17,3,17,0,Some Random Commen with Id 97
98,18,0,158,5,Some Random Commen with Id 98
99,18,0,175,5,Some Random Commen with Id 99
100,18,0,93,7,Some Random Commen with Id 100
101,19,4,171,4,Some Random Commen with Id 101
102,21,8,67,2,Some Random Commen with Id 102
103,21,8,173,4,Some Random Commen with Id 103
104,21,8,79,8,Some Random Commen with Id 104
105,21,8,179,0,Some Random Commen with Id 105
106,21,8,144,9,Some Random Commen with Id 106
107,21,8,111,0,Some Random Commen with Id 107
108,21,8,18,4,Some Random Commen with Id 108
109,22,1,79,4,Some Random Commen with Id 109
110,22,1,75,3,Some Random Commen with Id 110
111,22,1,60,5,Some Random Commen with Id 111
112,22,1,14,2,Some Random Commen with Id 112
113,22,1,130,0,Some Random Commen with Id 113
114,22,1,94,8,Some Random Commen with Id 114
115,22,1,168,1,Some Random Commen with Id 115
116,23,7,157,2,Some Random Commen with Id 116
117,23,7,168,9,Some Random Commen with Id 117
118,23,7,155,1,Some Random Commen with Id 118
119,23,7,61,9,Some Random Commen with Id 119
120,23,7,55,8,Some Random Commen with Id 120
121,23,7,129,8,Some Random Commen with Id 121
122,24,5,47,2,Some Random Commen with Id 122
123,25,7,133,2,Some Random Commen with Id 123
124,25,7,168,5,Some Random Commen with Id 124
125,25,7,120,5,Some Random Commen with Id 125
126,25,7,45,2,Some Random Commen with Id 126
127,25,7,160,2,Some Random Commen with Id 127
128,25,7,151,1,Some Random Commen with Id 128
129,25,7,7,9,Some Random Commen with Id 129
130,25,7,7,8,Some Random Commen with Id 130
131,25,7,90,9,Some Random Commen with Id 131
132,27,0,63,6,Some Random Commen with Id 132
133,27,0,76,2,Some Random Commen with Id 133
134,27,0,10,2,Some Random Commen with Id 134
135,27,0,92,6,Some Random Commen with Id 135
136,27,0,45,3,Some Random Commen with Id 136
137,27,0,89,7,Some Random Commen with Id 137
138,27,0,175,0,Some Random Commen with Id 138
139,28,5,59,1,Some Random Commen with Id 139
140,28,5,173,9,Some Random Commen with Id 140
141,30,8,86,6,Some Random Commen with Id 141
142,30,8,57,2,Some Random Commen with Id 142
143,30,8,114,6,Some Random Commen with Id 143
144,30,8,64,7,Some Random Commen with Id 144
145,30,8,141,0,Some Random Commen with Id 145
146,31,6,109,0,Some Random Commen with Id 146
147,31,6,194,2,Some Random Commen with Id 147
148,31,6,88,4,Some Random Commen with Id 148
149,31,6,67,0,Some Random Commen with Id 149
150,31,6,21,0,Some Random Commen with Id 150
151,31,6,141,9,Some Random Commen with Id 151
152,31,6,17,8,Some Random Commen with Id 152
153,31,6,41,4,Some Random Commen with Id 153
154,32,6,140,4,Some Random Commen with Id 154
155,32,6,94,6,Some Random Commen with Id 155
156,32,6,7,0,Some Random Commen with Id 156
157,32,6,101,6,Some Random Commen with Id 157
158,32,6,161,0,Some Random Commen with Id 158
159,32,6,124,0,Some Random Commen with Id 159
160,32,6,77,0,Some Random Commen with Id 160
161,32,6,194,3,Some Random Commen with Id 161
162,33,6,101,8,Some Random Commen with Id 162
163,33,6,126,9,Some Random Commen with Id 163
164,33,6,126,2,Some Random Commen with Id 164
165,33,6,126,2,Some Random Commen with Id 165
166,33,6,19,9,Some Random Commen with Id 166
167,33,6,128,2,Some Random Commen with Id 167
168,33,6,109,1,Some Random Commen with Id 168
169,34,0,146,2,Some Random Commen with Id 169
170,34,0,25,9,Some Random Commen with Id 170
171,34,0,37,7,Some Random Commen with Id 171
172,34,0,116,9,Some Random Commen with Id 172
173,34,0,9,9,Some Random Commen with Id 173
174,34,0,163,5,Some Random Commen with Id 174
175,34,0,45,2,Some Random Commen with Id 175
176,35,9,185,9,Some Random Commen with Id 176
177,35,9,88,2,Some Random Commen with Id 177
178,35,9,118,4,Some Random Commen with Id 178
179,35,9,82,4,Some Random Commen with Id 179
180,36,8,181,7,Some Random Commen with Id 180
181,36,8,61,0,Some Random Commen with Id 181
182,36,8,103,0,Some Random Commen with Id 182
183,36,8,14,0,Some Random Commen with Id 183
184,37,7,174,6,Some Random Commen with Id 184
185,37,7,186,5,Some Random Commen with Id 185
186,37,7,159,8,Some Random Commen with Id 186
187,37,7,17,9,Some Random Commen with Id 187
188,37,7,74,6,Some Random Commen with Id 188
189,37,7,21,7,Some Random Commen with Id 189
190,37,7,199,7,Some Random Commen with Id 190
191,38,5,146,6,Some Random Commen with Id 191
192,39,2,96,6,Some Random Commen with Id 192
193,39,2,102,5,Some Random Commen with Id 193
194,39,2,121,9,Some Random Commen with Id 194
195,39,2,6,8,Some Random Commen with Id 195
196,39,2,136,0,Some Random Commen with Id 196
197,39,2,56,7,Some Random Commen with Id 197
198,39,2,109,5,Some Random Commen with Id 198
199,39,2,129,6,Some Random Commen with Id 199
200,39,2,19,0,Some Random Commen with Id 200
